seed,variant,arm,attempts,failures,accepted
1,0,discovery,8,5,true
1,1,control,5,2,true
1,1,memory,3,0,true
1,1,memory-ablated,5,2,true
1,2,memory,3,0,true
1,2,control,4,1,true
1,2,memory-ablated,4,1,true
1,3,control,6,3,true
1,3,memory,3,0,true
1,3,memory-ablated,6,3,true
1,4,memory,3,0,true
1,4,control,5,2,true
1,4,memory-ablated,5,2,true
1,5,control,8,5,true
1,5,memory,3,0,true
1,5,memory-ablated,8,5,true
1,6,memory,3,0,true
1,6,control,7,4,true
1,6,memory-ablated,7,4,true
2,0,discovery,5,2,true
2,1,control,6,3,true
2,1,memory,3,0,true
2,1,memory-ablated,6,3,true
2,2,memory,3,0,true
2,2,control,6,3,true
2,2,memory-ablated,6,3,true
2,3,control,5,2,true
2,3,memory,3,0,true
2,3,memory-ablated,5,2,true
2,4,memory,3,0,true
2,4,control,7,4,true
2,4,memory-ablated,7,4,true
2,5,control,7,4,true
2,5,memory,3,0,true
2,5,memory-ablated,7,4,true
2,6,memory,3,0,true
2,6,control,9,6,true
2,6,memory-ablated,9,6,true
3,0,discovery,6,3,true
3,1,control,6,3,true
3,1,memory,3,0,true
3,1,memory-ablated,6,3,true
3,2,memory,3,0,true
3,2,control,6,3,true
3,2,memory-ablated,6,3,true
3,3,control,6,3,true
3,3,memory,3,0,true
3,3,memory-ablated,6,3,true
3,4,memory,3,0,true
3,4,control,7,4,true
3,4,memory-ablated,7,4,true
3,5,control,7,4,true
3,5,memory,3,0,true
3,5,memory-ablated,7,4,true
3,6,memory,3,0,true
3,6,control,6,3,true
3,6,memory-ablated,6,3,true
4,0,discovery,6,3,true
4,1,control,6,3,true
4,1,memory,3,0,true
4,1,memory-ablated,6,3,true
4,2,memory,3,0,true
4,2,control,7,4,true
4,2,memory-ablated,7,4,true
4,3,control,8,5,true
4,3,memory,3,0,true
4,3,memory-ablated,8,5,true
4,4,memory,3,0,true
4,4,control,8,5,true
4,4,memory-ablated,8,5,true
4,5,control,8,5,true
4,5,memory,3,0,true
4,5,memory-ablated,8,5,true
4,6,memory,3,0,true
4,6,control,5,2,true
4,6,memory-ablated,5,2,true
5,0,discovery,5,2,true
5,1,control,6,3,true
5,1,memory,3,0,true
5,1,memory-ablated,6,3,true
5,2,memory,3,0,true
5,2,control,5,2,true
5,2,memory-ablated,5,2,true
